ticid|dr2_source_id|dr3_source_id|angular_distance|magnitude_difference|dr3_ra|dr3_dec|tic8_Tmag|dr3_dist_pc|dr3_bp_rp|dr3_ruwe|period|assoc|age|teff_sedfit|teff_sedfit_perr|teff_sedfit_merr|rstar_sedfit|rstar_sedfit_perr|rstar_sedfit_merr|mass_parsec|mass_parsec_perr|mass_parsec_merr|Rcr_over_Rstar|P2_hr|quality|binarityflag|N_sectors
148646689|6007250261616703488|6007250261617947776|0.14359626|-0.0025100708|230.87655|-38.35811|12.14|140.4|2.444|1.7|10.63|UCL|16.0|3441|111|116|1.27|0.11|0.06|0.55|0.06|0.1|1.58|13.37|0|001|3
280945693|5234117008292638464|5234117008292638464|0.07594891|-0.023643494|174.06969|-69.46432|12.27|98.2|2.966|1.16|15.27|LCC|15.0|3074|54|44|1.09|0.06|0.04|0.31|0.04|0.03|1.94|-|0|100|5
165184400|5046815924054174848|5046815924054174848|0.058268465|-0.027872086|47.7064|-36.27983|12.37|43.2|3.019|1.24|15.91|THA|45.0|3094|37|69|0.42|0.03|0.02|0.25|0.03|0.01|4.81|-|0|000|4
245834739|3309335218545766784|3309335218545766784|0.114777945|-0.019708633|68.22667|14.40671|12.55|115.4|2.851|1.49|10.47|TAU|2.0|3131|66|36|1.01|0.03|0.05|0.36|0.04|0.04|1.71|9.86|0|001|6
125843782|151499478104075008|151499478104075008|0.13243745|-0.0286932|69.34055|26.8503|13.01|127.7|2.86|1.21|44.17|TAU|2.0|3128|79|41|0.91|0.03|0.06|0.35|0.03|0.04|4.9|-|0|000|4
244161191|2431769083806305152|2431769083806305152|0.16162415|-0.02610588|4.88358|-5.91157|13.17|44.7|3.535|1.28|7.17|COL|42.0|2867|57|36|0.37|0.02|0.01|0.16|0.02|0.01|2.76|8.39|0|001|3
231058925|4719413251435732608|4719413251435732608|0.010211143|-0.025354385|30.77813|-55.76177|13.17|51.2|3.253|1.35|8.87|THA|45.0|2966|50|38|0.39|0.01|0.02|0.2|0.01|0.01|3.28|-|0|000|5
301676454|3795298673460008064|3795298673460008064|0.04425253|-0.027830124|178.52195|0.38769|13.4|70.7|3.071|1.24|9.18|ARG|45.0|3057|46|52|0.45|0.03|0.02|0.27|0.01|0.02|3.19|-|0|000|1
58084670|2034818379464853376|2034818379464853376|0.069777295|-0.0245018|296.42208|32.50346|13.58|140.2|2.825|1.06|11.16|FIELD||3142|79|63|0.77|0.04|0.05|||||-|0|000|6
67745212|3191994547355916288|3191994547355916288|0.09866872|-0.029968262|63.6466|-10.01794|13.63|27.8|3.803|1.11|5.12|COL|42.0|2804|33|62|0.21|0.01|0.01|0.09|0.0|0.0|3.2|-|0|000|2
5714469|3493814268751183744|3493814268751183744|0.22897938|-0.023827553|179.2006|-22.48937|13.73|78.3|3.647|1.12|10.35|UCL|16.0|2825|47|43|0.54|0.02|0.02|0.18|0.01|0.01|2.53|-|0|000|3
259586708|4784133288986121728|4784133288986121728|0.13914804|-0.028427124|72.29423|-51.29601|13.82|95.6|2.93|1.17|22.52|COL|42.0|3128|65|54|0.46|0.02|0.02|0.29|0.02|0.03|5.81|-|0|000|7
435903839|3311867153305660288|3311867153305660288|1.4922081|0.015678406|64.61414|14.97015|11.95|80.7|2.486|17.7|10.82|ABDMG(?)|149.0|3412|93|70|0.74|0.05|0.04|0.51|0.02|0.02|2.66|-|-1|010|6
57830249|3478940625208241920|3478940625208241920|0.022617992|-0.015096664|174.89049|-30.66688|11.96|48.8|3.202|1.34|43.82|TWA|10.0|2956|21|53|0.69|0.02|0.03|0.25|0.02|0.01|5.69|-|-1|000|3
193136669|5467714064704570112|5467714064704570112|0.04062921|-0.043839455|157.1905|-28.51048|13.06|61.1|3.488|1.22|37.64|TWA|10.0|2853|49|42|0.58|0.03|0.03|0.2|0.01|0.02|5.77|-|-1|000|4
